review_id,review_text,product_category,rating,sentiment,length_chars,length_tokens,review_source,contains_slang,review_date,city,cleaned_text,label
700d5322-6701-48f1-a7ca-c8432efbe3f3,u! Bought this for for electronics. highly recommend. Battery life is good and it charges fast.,Electronics,5,positive,95,16,Android App,True,2025-09-28 06:41:55,Abu Dhabi,bought electronics highly recommend battery life good charge fast,2
6e34c983-b9e1-48de-adef-0e90345c2513,Bought this for for electronics. five stars. Battery life is good and it charges fast.,Electronics,4,positive,86,15,iOS App,False,2025-03-11 12:37:57,Ajman,bought electronics five star battery life good charge fast,2
8625b4c2-386b-4769-8d66-3aa58831a541,Bought this for for home. not bad.,Home,3,neutral,34,7,iOS App,False,2025-10-24 11:12:22,Ajman,bought home bad,1
9b42823a-aeb0-4565-80e8-3a264ebf0f50,Bought this for for grocery. highly recommend.,Grocery,5,positive,46,7,iOS App,False,2025-05-14 03:04:01,Sharjah,bought grocery highly recommend,2
60d25eca-4575-4810-8388-724acf444f83,I bought this for electronics. highly recommend. Battery life is good and it charges fast.,Electronics,5,positive,90,15,Android App,False,2025-03-01 10:37:05,Al Ain,bought electronics highly recommend battery life good charge fast,2
e2758c9f-7d00-475d-9a8c-cc8233b2c1fc,I bought this for home. highly recommend.,Home,4,positive,41,7,ThirdParty,False,2025-07-26 12:40:24,Sharjah,bought home highly recommend,2
c94f2614-c95f-4096-bdf5-3492601525c6,Bought this for for home. works great.,Home,5,positive,38,7,ThirdParty,False,2025-11-02 22:15:59,Abu Dhabi,bought home work great,2
59ded6a9-5297-4edc-95fd-bc8537fb6edc,Bought this for for beauty. five stars.,Beauty,4,positive,39,7,ThirdParty,False,2025-06-13 17:41:57,Ras Al Khaimah,bought beauty five star,2
d6404f31-cce1-42a4-a1e9-13c237849b5d,Bought this for for home. very happy. u,Home,5,positive,39,8,Android App,True,2025-11-15 03:03:31,Abu Dhabi,bought home happy,2
cb72da66-1446-4993-b0ed-49fb8a8fd1dd,Bought this for for sports. five stars.,Sports,5,positive,39,7,iOS App,False,2025-10-31 08:50:08,Abu Dhabi,bought sport five star,2
dae8800d-df54-4ded-afad-e0ffe2ba7259,I bought this for home. works great.,Home,5,positive,36,7,ThirdParty,False,2025-03-15 03:26:19,Dubai,bought home work great,2
6312e144-ab49-4f94-a3ad-da496442f105,I bought this for sports. as expected.,Sports,3,neutral,38,7,Web,False,2025-10-22 18:27:40,Ras Al Khaimah,bought sport expected,1
e7a5a863-d2f4-4130-bdef-6c1b940f248b,I bought this for sports. five stars.,Sports,4,positive,37,7,Android App,False,2025-05-26 18:26:59,Sharjah,bought sport five star,2
